,hour_of_day,hour_of_day_bins,is_weekend,city,merchant_category,payment_method,account_age_years,time_since_last_txn_hrs,time_since_last_txn_hrs_bins,failed_attempts,is_international,pin_changed_recently,is_night_transaction,is_fraud
54,22,75%-max,0,Vancouver,Fuel,Mobile Payment,15.3,11.79,50%-75%,4,0,0,1,0
55,14,50%-75%,1,Manchester,Online Shopping,Debit Card,1.3,0.31,min-25%,0,0,0,0,0
56,19,75%-max,0,Delhi,Education,Credit Card,2.9,19.22,75%-max,5,0,0,0,0
57,13,50%-75%,0,Munich,Jewelry,Debit Card,14.9,3.14,min-25%,0,1,0,0,0
58,23,75%-max,1,Munich,Jewelry,Debit Card,20.1,5.56,25%-50%,0,0,0,1,0
59,8,25%-50%,1,Munich,Fuel,Mobile Payment,7.5,31.49,75%-max,1,0,0,0,0
60,7,25%-50%,0,Manchester,Restaurant,Cheque,0.4,4.7,25%-50%,0,0,0,0,0
61,3,min-25%,0,Berlin,Education,Bank Transfer,1.1,32.66,75%-max,0,0,0,1,0
62,7,25%-50%,1,Paris,Education,Credit Card,8.4,15.42,50%-75%,0,0,0,0,0
63,21,75%-max,0,London,Grocery,Debit Card,9.6,36.18,75%-max,0,0,0,0,0
64,21,75%-max,0,Los Angeles,Electronics,Mobile Payment,30.0,15.24,50%-75%,2,0,0,0,0
65,12,25%-50%,1,Melbourne,ATM Withdrawal,Credit Card,8.9,6.88,25%-50%,0,0,0,0,0
66,23,75%-max,0,Toronto,Utilities,Credit Card,6.1,14.99,50%-75%,0,0,0,1,0
67,18,50%-75%,0,Guadalajara,Gaming,Debit Card,2.5,1.93,min-25%,1,0,0,0,0
68,11,25%-50%,1,Toronto,Entertainment,Credit Card,0.1,16.85,75%-max,0,1,0,0,0
69,0,,0,Osaka,Fuel,Bank Transfer,19.2,0.04,min-25%,2,0,0,1,1
70,19,75%-max,0,Melbourne,Online Shopping,Debit Card,11.2,38.25,75%-max,0,0,0,0,0
71,5,min-25%,0,Delhi,Crypto Exchange,Credit Card,8.8,2.77,min-25%,0,0,1,1,0
72,0,,0,Tokyo,Online Shopping,Mobile Payment,3.0,11.7,50%-75%,0,0,0,1,0
73,22,75%-max,0,Manchester,Online Shopping,Credit Card,9.0,11.03,50%-75%,2,0,0,1,1
74,16,50%-75%,0,Manchester,Entertainment,Credit Card,5.9,34.76,75%-max,0,1,0,0,0
75,23,75%-max,0,Delhi,Education,Bank Transfer,11.3,44.57,75%-max,0,0,0,1,0
76,4,min-25%,0,Mumbai,Travel,Credit Card,3.6,1.77,min-25%,1,0,0,1,0
77,0,,0,Lyon,Gaming,Credit Card,3.2,4.44,25%-50%,0,0,0,1,0
78,21,75%-max,0,Melbourne,Healthcare,Mobile Payment,1.4,2.07,min-25%,0,0,0,0,0
79,8,25%-50%,0,Munich,Clothing,Credit Card,0.1,26.24,75%-max,0,1,0,0,0
80,0,,1,Los Angeles,Fuel,Debit Card,0.5,21.82,75%-max,0,0,0,1,0
81,11,25%-50%,1,São Paulo,Restaurant,Bank Transfer,3.7,2.88,min-25%,4,0,0,0,0
82,21,75%-max,1,Toronto,Travel,Debit Card,1.4,20.67,75%-max,0,1,0,0,1
83,21,75%-max,0,Manchester,Clothing,Mobile Payment,6.8,16.73,75%-max,2,0,0,0,1
84,17,50%-75%,1,Osaka,Electronics,Credit Card,1.6,9.16,50%-75%,0,0,0,0,0
85,16,50%-75%,1,São Paulo,Grocery,Debit Card,0.7,2.8,min-25%,0,0,0,0,0
86,6,min-25%,1,Tokyo,Entertainment,Debit Card,4.0,4.69,25%-50%,3,0,0,1,0
87,10,25%-50%,0,Paris,Utilities,Credit Card,1.8,14.08,50%-75%,0,0,0,0,0
88,22,75%-max,0,Lyon,Travel,Debit Card,1.0,6.74,25%-50%,0,1,0,1,0
89,0,,1,Mexico City,Utilities,Credit Card,2.6,2.15,min-25%,0,0,0,1,0
90,21,75%-max,0,Guadalajara,ATM Withdrawal,Credit Card,11.3,4.79,25%-50%,0,0,0,0,0
91,19,75%-max,0,Lyon,Travel,Credit Card,5.7,33.65,75%-max,1,0,0,0,0
92,23,75%-max,0,Melbourne,Electronics,Mobile Payment,9.5,1.41,min-25%,0,0,0,1,0
93,15,50%-75%,0,London,Online Shopping,Credit Card,11.0,34.78,75%-max,0,0,0,0,0
94,0,,0,Toronto,ATM Withdrawal,Credit Card,0.2,14.99,50%-75%,0,0,0,1,0
95,9,25%-50%,0,Delhi,Online Shopping,Credit Card,2.5,9.48,50%-75%,3,0,0,0,0
96,22,75%-max,1,Osaka,Healthcare,Credit Card,0.4,3.52,25%-50%,0,0,0,1,0
97,14,50%-75%,0,Rio,Utilities,Credit Card,1.3,4.15,25%-50%,0,0,0,0,0
98,5,min-25%,0,Mumbai,Grocery,Credit Card,16.2,12.52,50%-75%,0,0,0,1,0
99,10,25%-50%,0,Mexico City,ATM Withdrawal,Bank Transfer,0.2,5.17,25%-50%,0,0,1,0,0
100,14,50%-75%,1,London,Education,Bank Transfer,3.3,0.08,min-25%,0,1,0,0,0
101,14,50%-75%,0,Los Angeles,Clothing,Mobile Payment,6.4,3.17,min-25%,0,0,0,0,0
102,14,50%-75%,0,Delhi,Clothing,Credit Card,5.7,10.41,50%-75%,0,0,0,0,0
103,23,75%-max,0,Toronto,Restaurant,Bank Transfer,1.5,0.74,min-25%,0,0,0,1,0
104,18,50%-75%,0,Tokyo,Travel,Bank Transfer,0.5,8.44,50%-75%,0,0,0,0,0
105,5,min-25%,0,New York,Clothing,Debit Card,4.7,2.84,min-25%,0,1,0,1,0
106,2,min-25%,1,Melbourne,Crypto Exchange,Credit Card,0.5,1.6,min-25%,2,0,0,1,0
107,0,,0,Munich,Gaming,Bank Transfer,1.6,2.34,min-25%,0,0,0,1,0
108,5,min-25%,1,Sydney,Entertainment,Bank Transfer,5.6,10.43,50%-75%,1,0,0,1,0
109,1,min-25%,1,Delhi,Jewelry,Debit Card,0.8,32.2,75%-max,0,0,0,1,0
110,14,50%-75%,0,Tokyo,Education,Cheque,0.7,1.36,min-25%,3,0,1,0,0
111,22,75%-max,0,Melbourne,Travel,Credit Card,3.1,15.44,50%-75%,1,0,0,1,0
112,7,25%-50%,0,Lyon,Electronics,Debit Card,6.4,13.65,50%-75%,0,0,0,0,0
113,16,50%-75%,0,Sydney,Education,Mobile Payment,13.8,66.73,75%-max,0,0,0,0,0
114,3,min-25%,0,Berlin,Education,Debit Card,0.9,9.44,50%-75%,0,0,0,1,0
115,5,min-25%,0,Guadalajara,Restaurant,Bank Transfer,0.3,2.85,min-25%,0,0,0,1,0
116,11,25%-50%,0,Vancouver,Travel,Credit Card,0.4,32.27,75%-max,1,0,0,0,0
117,22,75%-max,0,Rio,Grocery,Debit Card,6.6,13.89,50%-75%,0,0,0,1,0
118,5,min-25%,0,Toronto,Gaming,Credit Card,3.4,26.97,75%-max,0,0,0,1,0
119,10,25%-50%,0,Munich,Fuel,Bank Transfer,5.0,8.12,25%-50%,2,0,0,0,0
120,18,50%-75%,1,Paris,Healthcare,Bank Transfer,0.2,1.28,min-25%,2,0,0,0,0
121,23,75%-max,0,Manchester,Restaurant,Credit Card,3.3,8.74,50%-75%,0,0,0,1,0
122,1,min-25%,1,Rio,Grocery,Credit Card,5.2,30.17,75%-max,1,0,0,1,0
123,0,,0,Manchester,Education,Debit Card,2.4,12.31,50%-75%,0,0,0,1,0
124,15,50%-75%,0,Guadalajara,Electronics,Debit Card,9.8,5.24,25%-50%,0,0,0,0,0
125,23,75%-max,1,Mumbai,Crypto Exchange,Debit Card,7.8,1.19,min-25%,0,0,0,1,0
126,20,75%-max,0,Munich,Online Shopping,Credit Card,3.8,2.63,min-25%,1,0,0,0,0
127,10,25%-50%,1,Paris,Clothing,Debit Card,6.0,18.21,75%-max,1,0,0,0,0
128,7,25%-50%,1,Lyon,Travel,Credit Card,7.0,13.0,50%-75%,1,0,0,0,0
129,9,25%-50%,1,Rio,Gaming,Debit Card,4.8,40.21,75%-max,0,1,0,0,0
130,9,25%-50%,1,Los Angeles,Travel,Crypto,14.3,1.38,min-25%,0,0,0,0,0
131,20,75%-max,0,Delhi,Restaurant,Bank Transfer,0.3,4.64,25%-50%,0,0,1,0,0
132,8,25%-50%,0,Toronto,Entertainment,Mobile Payment,1.6,0.65,min-25%,0,0,1,0,0
133,22,75%-max,0,Paris,ATM Withdrawal,Debit Card,1.6,2.89,min-25%,0,0,0,1,0
134,19,75%-max,0,Berlin,Restaurant,Mobile Payment,2.9,5.68,25%-50%,0,0,0,0,0
135,2,min-25%,0,Berlin,Gaming,Credit Card,10.1,30.17,75%-max,0,0,0,1,0
136,0,,0,Berlin,Gaming,Bank Transfer,3.0,3.8,25%-50%,0,0,0,1,0
137,17,50%-75%,0,Osaka,Electronics,Debit Card,10.4,61.61,75%-max,3,0,0,0,0
138,17,50%-75%,0,Mexico City,Electronics,Credit Card,9.7,3.91,25%-50%,1,0,0,0,0
139,21,75%-max,0,Los Angeles,Travel,Mobile Payment,1.9,37.8,75%-max,0,0,0,0,0
140,2,min-25%,0,Delhi,Jewelry,Debit Card,2.5,26.3,75%-max,0,0,0,1,0
141,14,50%-75%,1,Osaka,Restaurant,Mobile Payment,0.2,15.9,50%-75%,0,0,0,0,0
142,17,50%-75%,0,Guadalajara,Fuel,Credit Card,2.8,19.54,75%-max,2,0,0,0,0
143,3,min-25%,1,London,Education,Debit Card,8.9,2.79,min-25%,1,0,1,1,0
144,17,50%-75%,0,Paris,Education,Debit Card,0.1,29.24,75%-max,0,0,0,0,0
145,20,75%-max,0,Manchester,Utilities,Credit Card,6.3,14.45,50%-75%,0,0,0,0,0
146,23,75%-max,0,Rio,Crypto Exchange,Mobile Payment,3.4,3.47,25%-50%,1,0,0,1,0
147,18,50%-75%,0,Melbourne,Crypto Exchange,Bank Transfer,1.8,4.13,25%-50%,0,0,0,0,0
148,14,50%-75%,1,Guadalajara,Healthcare,Mobile Payment,2.7,5.8,25%-50%,0,0,0,0,0
149,8,25%-50%,1,Guadalajara,Gaming,Credit Card,5.7,0.13,min-25%,0,0,0,0,0
150,13,50%-75%,1,Vancouver,Clothing,Debit Card,1.5,23.79,75%-max,0,0,0,0,0
151,8,25%-50%,1,Guadalajara,Grocery,Credit Card,3.8,19.27,75%-max,0,0,0,0,0
152,9,25%-50%,0,Toronto,Fuel,Bank Transfer,1.1,30.35,75%-max,0,0,0,0,0
153,15,50%-75%,1,Osaka,Clothing,Mobile Payment,0.1,34.4,75%-max,4,0,0,0,0
154,7,25%-50%,0,Manchester,Healthcare,Debit Card,4.0,9.02,50%-75%,0,0,1,0,0
155,4,min-25%,1,Osaka,ATM Withdrawal,Credit Card,3.6,1.95,min-25%,0,0,0,1,1
156,18,50%-75%,0,London,Grocery,Bank Transfer,17.3,6.98,25%-50%,0,1,0,0,0
157,4,min-25%,0,Delhi,Online Shopping,Debit Card,0.3,13.51,50%-75%,0,0,0,1,0
158,17,50%-75%,1,Vancouver,Entertainment,Bank Transfer,2.0,0.73,min-25%,0,1,0,0,0
159,15,50%-75%,0,São Paulo,ATM Withdrawal,Debit Card,8.1,20.42,75%-max,4,0,0,0,0
160,11,25%-50%,0,Lyon,Electronics,Credit Card,0.5,5.63,25%-50%,0,0,1,0,0
161,18,50%-75%,0,Delhi,Travel,Debit Card,7.5,14.05,50%-75%,3,0,0,0,0
162,0,,0,Mexico City,Utilities,Bank Transfer,2.6,0.25,min-25%,3,0,0,1,0
163,5,min-25%,0,Mexico City,Electronics,Mobile Payment,6.1,6.53,25%-50%,0,0,0,1,0
164,20,75%-max,0,Toronto,Clothing,Credit Card,1.8,9.39,50%-75%,2,1,0,0,0
165,4,min-25%,1,Lyon,Electronics,Credit Card,1.3,1.01,min-25%,0,0,0,1,0
166,13,50%-75%,1,London,Crypto Exchange,Debit Card,11.2,3.61,25%-50%,0,0,0,0,0
167,9,25%-50%,0,Paris,Restaurant,Debit Card,1.6,23.57,75%-max,0,1,0,0,0
168,8,25%-50%,0,Toronto,Online Shopping,Debit Card,1.1,5.1,25%-50%,0,1,0,0,0
169,2,min-25%,1,Rio,Crypto Exchange,Debit Card,5.0,14.28,50%-75%,3,0,0,1,1
170,8,25%-50%,0,Munich,Travel,Debit Card,1.7,2.05,min-25%,0,0,0,0,0
171,16,50%-75%,0,Rio,Fuel,Credit Card,10.4,7.92,25%-50%,0,0,0,0,0
172,13,50%-75%,1,London,Crypto Exchange,Mobile Payment,13.4,3.19,min-25%,0,0,0,0,0
173,23,75%-max,1,São Paulo,Healthcare,Bank Transfer,6.4,3.43,min-25%,0,0,0,1,0
174,12,25%-50%,0,New York,Clothing,Crypto,2.4,17.34,75%-max,5,1,0,0,0
175,22,75%-max,0,Osaka,Healthcare,Mobile Payment,3.6,23.28,75%-max,0,0,0,1,1
176,16,50%-75%,0,Mumbai,Crypto Exchange,Debit Card,1.7,41.98,75%-max,0,0,0,0,0
177,17,50%-75%,0,Osaka,Utilities,Credit Card,0.9,28.12,75%-max,0,0,0,0,0
178,11,25%-50%,0,Vancouver,Education,Bank Transfer,4.3,22.13,75%-max,0,0,0,0,0
179,6,min-25%,1,Berlin,Healthcare,Crypto,0.2,0.69,min-25%,5,0,0,1,0
180,7,25%-50%,0,Delhi,Electronics,Credit Card,1.5,6.27,25%-50%,0,0,1,0,0
181,11,25%-50%,0,São Paulo,Online Shopping,Credit Card,1.5,13.89,50%-75%,0,1,0,0,0
182,16,50%-75%,0,Mexico City,Grocery,Mobile Payment,0.2,18.38,75%-max,1,0,0,0,0
183,8,25%-50%,0,Toronto,Healthcare,Mobile Payment,4.4,3.03,min-25%,0,0,1,0,0
184,14,50%-75%,0,Tokyo,Entertainment,Credit Card,1.2,5.58,25%-50%,3,0,0,0,0
185,17,50%-75%,0,New York,Clothing,Credit Card,4.7,8.78,50%-75%,0,0,0,0,0
186,15,50%-75%,0,London,Clothing,Credit Card,5.0,3.82,25%-50%,0,1,1,0,1
187,12,25%-50%,0,Rio,Electronics,Credit Card,0.8,8.87,50%-75%,0,0,1,0,0
188,7,25%-50%,0,Paris,Grocery,Credit Card,8.5,2.56,min-25%,0,0,1,0,0
189,15,50%-75%,0,Munich,ATM Withdrawal,Debit Card,0.9,20.88,75%-max,0,0,0,0,0
190,4,min-25%,1,Guadalajara,Fuel,Debit Card,2.0,9.81,50%-75%,0,0,0,1,0
191,2,min-25%,0,Rio,Education,Debit Card,4.1,0.85,min-25%,0,0,1,1,0
192,12,25%-50%,0,Guadalajara,Travel,Bank Transfer,3.4,10.02,50%-75%,0,0,0,0,0
193,12,25%-50%,0,Los Angeles,Utilities,Bank Transfer,5.1,26.16,75%-max,1,0,0,0,0
194,10,25%-50%,0,Munich,Entertainment,Debit Card,2.8,8.03,25%-50%,0,0,0,0,0
195,15,50%-75%,0,Munich,Clothing,Debit Card,3.4,25.62,75%-max,0,0,1,0,0
196,22,75%-max,0,Munich,Crypto Exchange,Debit Card,0.9,2.43,min-25%,0,1,0,1,0
197,6,min-25%,0,Melbourne,Healthcare,Credit Card,1.9,2.72,min-25%,3,0,0,1,1
198,18,50%-75%,0,Osaka,Fuel,Debit Card,6.4,6.49,25%-50%,0,1,1,0,0
199,1,min-25%,0,Berlin,Crypto Exchange,Credit Card,0.2,1.26,min-25%,0,0,0,1,0
200,9,25%-50%,0,São Paulo,Crypto Exchange,Credit Card,1.0,4.55,25%-50%,1,0,0,0,0
201,19,75%-max,0,Tokyo,Education,Mobile Payment,3.3,18.78,75%-max,0,0,0,0,0
202,12,25%-50%,0,Rio,Clothing,Credit Card,2.1,29.64,75%-max,0,0,1,0,1
203,19,75%-max,0,Guadalajara,Jewelry,Credit Card,0.2,20.94,75%-max,0,0,0,0,0
204,16,50%-75%,0,Manchester,Travel,Mobile Payment,3.8,6.43,25%-50%,2,0,0,0,1
205,9,25%-50%,0,London,Restaurant,Debit Card,2.5,36.06,75%-max,0,0,0,0,0
206,20,75%-max,0,Paris,Education,Bank Transfer,4.4,12.07,50%-75%,0,0,0,0,0
207,20,75%-max,0,Osaka,Restaurant,Bank Transfer,2.2,4.29,25%-50%,1,0,0,0,0
208,15,50%-75%,0,Melbourne,Online Shopping,Debit Card,5.3,5.03,25%-50%,0,0,0,0,0
209,7,25%-50%,0,Osaka,Utilities,Credit Card,0.9,6.15,25%-50%,0,0,0,0,0
210,14,50%-75%,0,New York,Utilities,Crypto,1.5,12.2,50%-75%,3,0,0,0,0
211,17,50%-75%,1,Vancouver,Online Shopping,Credit Card,0.1,43.84,75%-max,3,0,0,0,0
212,20,75%-max,0,New York,Grocery,Debit Card,12.8,7.49,25%-50%,0,0,0,0,0
213,20,75%-max,0,Sydney,Gaming,Debit Card,1.2,8.28,25%-50%,0,0,0,0,0
214,16,50%-75%,0,Guadalajara,Online Shopping,Credit Card,4.9,4.29,25%-50%,2,1,0,0,0
215,1,min-25%,1,Guadalajara,Travel,Credit Card,4.6,4.74,25%-50%,0,0,0,1,0
216,22,75%-max,0,Los Angeles,Online Shopping,Debit Card,2.0,4.32,25%-50%,0,0,0,1,0
217,20,75%-max,0,Guadalajara,Healthcare,Credit Card,29.4,1.27,min-25%,0,0,0,0,0
218,22,75%-max,1,Melbourne,Clothing,Debit Card,5.3,23.01,75%-max,0,1,0,1,0
219,4,min-25%,0,Vancouver,Electronics,Credit Card,0.1,1.85,min-25%,0,1,0,1,0
220,14,50%-75%,0,Los Angeles,Healthcare,Debit Card,1.5,5.1,25%-50%,3,0,0,0,0
221,23,75%-max,0,Osaka,Jewelry,Bank Transfer,2.2,38.1,75%-max,1,1,0,1,1
222,19,75%-max,0,Mumbai,Restaurant,Bank Transfer,10.5,27.21,75%-max,0,0,0,0,0
223,4,min-25%,0,Mexico City,Jewelry,Credit Card,1.8,11.42,50%-75%,0,0,0,1,0
224,10,25%-50%,0,London,ATM Withdrawal,Debit Card,0.3,5.57,25%-50%,2,1,0,0,0
225,5,min-25%,0,Guadalajara,Travel,Credit Card,3.7,2.01,min-25%,0,0,0,1,0
226,22,75%-max,0,Munich,Crypto Exchange,Bank Transfer,11.0,2.92,min-25%,1,0,0,1,0
227,12,25%-50%,0,Munich,Healthcare,Credit Card,2.9,32.37,75%-max,0,0,0,0,0
228,21,75%-max,0,Sydney,Electronics,Bank Transfer,12.5,5.6,25%-50%,0,0,0,0,0
229,7,25%-50%,0,Munich,Jewelry,Debit Card,1.8,3.01,min-25%,0,0,0,0,0
230,22,75%-max,1,Tokyo,Grocery,Crypto,1.5,6.92,25%-50%,1,0,0,1,0
231,19,75%-max,0,Delhi,Fuel,Debit Card,0.8,6.97,25%-50%,0,0,0,0,0
232,3,min-25%,0,Rio,Healthcare,Credit Card,18.9,23.85,75%-max,0,1,0,1,0
233,5,min-25%,0,London,Healthcare,Mobile Payment,0.1,0.57,min-25%,0,0,0,1,0
234,16,50%-75%,0,Delhi,Grocery,Mobile Payment,5.5,5.49,25%-50%,0,0,0,0,0
235,19,75%-max,0,Mumbai,Utilities,Credit Card,4.7,5.84,25%-50%,0,0,0,0,0
236,15,50%-75%,0,Toronto,Education,Debit Card,7.1,4.12,25%-50%,0,0,0,0,0
237,20,75%-max,1,London,Electronics,Bank Transfer,21.3,2.83,min-25%,0,1,1,0,0
238,4,min-25%,0,Manchester,Restaurant,Credit Card,1.7,0.43,min-25%,2,1,0,1,0
239,0,,0,Mumbai,Clothing,Credit Card,2.8,8.14,25%-50%,0,0,0,1,0
240,9,25%-50%,0,Lyon,Education,Credit Card,16.4,23.73,75%-max,0,0,0,0,0
241,13,50%-75%,1,Munich,Healthcare,Crypto,3.6,0.23,min-25%,2,1,0,0,0
242,8,25%-50%,0,London,Crypto Exchange,Debit Card,9.4,16.07,50%-75%,2,0,0,0,0
243,19,75%-max,0,Mumbai,Electronics,Mobile Payment,1.5,4.44,25%-50%,0,0,0,0,0
244,16,50%-75%,1,Los Angeles,Restaurant,Cheque,5.4,2.58,min-25%,0,0,0,0,0
245,17,50%-75%,0,Melbourne,Gaming,Bank Transfer,2.5,46.54,75%-max,0,1,0,0,0
246,4,min-25%,1,Guadalajara,ATM Withdrawal,Mobile Payment,2.2,8.2,25%-50%,0,0,0,1,0
247,19,75%-max,0,São Paulo,Clothing,Credit Card,5.1,0.63,min-25%,2,0,0,0,0
248,21,75%-max,1,New York,Grocery,Credit Card,2.6,19.34,75%-max,0,0,0,0,0
249,6,min-25%,1,Rio,Restaurant,Mobile Payment,4.8,12.91,50%-75%,0,0,0,1,0
250,7,25%-50%,0,Paris,Fuel,Debit Card,5.2,0.91,min-25%,2,0,0,0,0
251,0,,0,Berlin,Grocery,Debit Card,1.3,4.66,25%-50%,0,0,0,1,0
252,6,min-25%,0,Mexico City,Utilities,Debit Card,4.8,20.77,75%-max,0,0,0,1,0
253,8,25%-50%,1,Tokyo,Restaurant,Bank Transfer,0.1,1.87,min-25%,0,0,0,0,0
254,21,75%-max,0,Tokyo,Utilities,Debit Card,14.7,2.44,min-25%,0,0,0,0,0
255,2,min-25%,0,Tokyo,Education,Bank Transfer,0.2,17.91,75%-max,1,1,0,1,0
256,1,min-25%,0,Tokyo,Electronics,Mobile Payment,0.2,58.05,75%-max,0,1,0,1,0
257,9,25%-50%,0,Melbourne,Utilities,Credit Card,0.3,18.53,75%-max,0,0,0,0,0
258,4,min-25%,0,Mexico City,Entertainment,Credit Card,7.6,1.92,min-25%,0,0,0,1,0
259,11,25%-50%,0,Delhi,Gaming,Mobile Payment,5.0,0.25,min-25%,3,0,0,0,0
260,8,25%-50%,0,Guadalajara,Grocery,Cheque,1.7,15.71,50%-75%,0,0,0,0,0
261,8,25%-50%,1,Vancouver,Online Shopping,Credit Card,0.4,0.49,min-25%,0,0,0,0,0
262,4,min-25%,0,Munich,Education,Credit Card,3.4,5.59,25%-50%,0,0,1,1,0
263,2,min-25%,0,Rio,Education,Credit Card,13.3,9.92,50%-75%,0,0,0,1,0
264,10,25%-50%,0,Berlin,Grocery,Mobile Payment,0.8,9.29,50%-75%,1,1,0,0,0
